0.0025,0,6.0291,11.468,15.7844,18.5557,19.5106,18.5557,15.7844,11.468,6.0291,0
0.0125,0,5.46024,10.386,14.2951,16.8049,17.6697,16.8049,14.2951,10.386,5.46024,0
0.025,0,4.82404,9.17587,12.6295,14.8469,15.6109,14.8469,12.6295,9.17587,4.82404,0
0.0375,0,4.26197,8.10674,11.158,13.117,13.792,13.117,11.158,8.10674,4.26197,0
0.05,0,3.76539,7.16219,9.85791,11.5887,12.185,11.5887,9.85791,7.16219,3.76539,0
0.0625,0,3.32666,6.32769,8.70931,10.2384,10.7653,10.2384,8.70931,6.32769,3.32666,0
0.075,0,2.93906,5.59042,7.69455,9.04549,9.51099,9.04549,7.69455,5.59042,2.93906,0
0.0875,0,2.59661,4.93905,6.79802,7.99155,8.40282,7.99155,6.79802,4.93905,2.59661,0
0.1,0,2.29407,4.36358,6.00595,7.06042,7.42376,7.06042,6.00595,4.36358,2.29407,0
0.1125,0,2.02678,3.85516,5.30617,6.23778,6.55879,6.23778,5.30617,3.85516,2.02678,0
0.125,0,1.79063,3.40597,4.68792,5.51098,5.79459,5.51098,4.68792,3.40597,1.79063,0
0.1375,0,1.58199,3.00913,4.14171,4.86887,5.11943,4.86887,4.14171,3.00913,1.58199,0
0.15,0,1.39767,2.65852,3.65914,4.30158,4.52294,4.30158,3.65914,2.65852,1.39767,0
0.1625,0,1.23482,2.34876,3.23279,3.80038,3.99595,3.80038,3.23279,2.34876,1.23482,0
0.175,0,1.09094,2.0751,2.85613,3.35758,3.53037,3.35758,2.85613,2.0751,1.09094,0
0.1875,0,0.963832,1.83332,2.52335,2.96637,3.11903,2.96637,2.52335,1.83332,0.963832,0
0.2,0,0.851531,1.61971,2.22934,2.62074,2.75561,2.62074,2.22934,1.61971,0.851531,0
0.2125,0,0.752315,1.43099,1.96959,2.31539,2.43454,2.31539,1.96959,1.43099,0.752315,0
0.225,0,0.66466,1.26426,1.7401,2.04561,2.15088,2.04561,1.7401,1.26426,0.66466,0
0.2375,0,0.587217,1.11695,1.53735,1.80727,1.90027,1.80727,1.53735,1.11695,0.587217,0
0.25,0,0.518797,0.986811,1.35823,1.59669,1.67886,1.59669,1.35823,0.986811,0.518797,0
